filename,sentence,foc-item,foc-moa,foc-poa,foc-vheight,foc-creak,nfoc-item,nfoc-moa,nfoc-poa,nfoc-vheight,nfoc-creak,has-obstruent
NA-NA-NA-NA-NA-data-unasp-alv-low-nst,Downloader du musik med wifi eller med data?,NA,NA,NA,NA,NA,data,unasp,alv,low,nst,n
dine-unasp-alv-high-nst-mine-nasal-bilab-high-nst,Er det dine eller er det mine?,dine,unasp,alv,high,nst,mine,nasal,bilab,high,nst,n
NA-NA-NA-NA-NA-forneden-nasal-alv-high-nst,Har du også ledt foroven eller kun forneden?,NA,NA,NA,NA,NA,forneden,nasal,alv,high,nst,n
NA-NA-NA-NA-NA-tusind-asp-alv-high-st,Koster den tættere på hundrede kroner eller tusind kroner?,NA,NA,NA,NA,NA,tusind,asp,alv,high,st,n
Tivoli-asp-alv-high-nst-NA-NA-NA-NA-NA,Skal vi tage i Tivoli eller skal vi tage på Bakken?,Tivoli,asp,alv,high,nst,NA,NA,NA,NA,NA,n
dyret-unasp-alv-high-st-NA-NA-NA-NA-NA,Ramte han dyret eller ramte han træet?,dyret,unasp,alv,high,st,NA,NA,NA,NA,NA,n
mine-nasal-bilab-high-nst-dine-unasp-alv-high-nst,Er det mine eller er det dine?,mine,nasal,bilab,high,nst,dine,unasp,alv,high,nst,n
NA-NA-NA-NA-NA-bier-unasp-bilab-high-st,Er det en flok hvepse eller en flok bier?,bier,unasp,bilab,high,st,NA,NA,NA,NA,NA,n
nEsen-nasal-alv-low-nst-NA-NA-NA-NA-NA,Blev du ramt på næsen eller på kinden?,næsen,nasal,alv,low,nst,NA,NA,NA,NA,NA,n
dalen-unasp-alv-low-st-NA-NA-NA-NA-NA,Boede de i dalen eller på bjergsiden?,dalen,unasp,alv,low,st,NA,NA,NA,NA,NA,n
minimum-nasal-bilab-high-st-NA-NA-NA-NA-NA,Er den her pris tættest på dit minimum eller dit maksimum?,minimum,nasal,bilab,high,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-delte-unasp-alv-high-st,Er alle enige eller er der delte meninger?,NA,NA,NA,NA,NA,delte,unasp,alv,high,st,n
mOler-nasal-bilab-low-st-NA-NA-NA-NA-NA,Er fonetik et fag hvor man måler ting eller er det et fag hvor man lytter?,måler,nasal,bilab,low,st,NA,NA,NA,NA,NA,n
fornyet-nasal-alv-high-st-NA-NA-NA-NA-NA,Er dit medlemskab blevet fornyet eller er det udløbet?,fornyet,nasal,alv,high,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-sympatisk-asp-bilab-low-st,Var han ubehagelig eller var han sympatisk?,NA,NA,NA,NA,NA,sympatisk,asp,bilab,low,st,n
NA-NA-NA-NA-NA-bide-unasp-bilab-high-nst,Er hunden velopdragen eller kan den komme i tanke om at bide?,NA,NA,NA,NA,NA,bide,unasp,bilab,high,nst,n
Portugal-asp-bilab-low-nst-Polen-asp-bilab-high-st,Skulle de til Portugal eller skulle de til Polen?,Portugal,asp,bilab,low,nst,Polen,asp,bilab,high,st,y
NA-NA-NA-NA-NA-udueligt-unasp-alv-high-st,Er det noget der dur eller er det udueligt?,NA,NA,NA,NA,NA,udueligt,unasp,alv,high,st,n
pEne-asp-bilab-low-nst-NA-NA-NA-NA-NA,Var billederne pæne eller grimme?,pæne,asp,bilab,low,nst,NA,NA,NA,NA,NA,n
bagud-unasp-bilab-low-st-NA-NA-NA-NA-NA,Sakker han bagud eller kommer han op foran?,bagud,unasp,bilab,low,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-tale-asp-alv-low-nst,Har hun skrevet en sang eller holder hun en tale?,NA,NA,NA,NA,NA,tale,asp,alv,low,nst,n
dagen-unasp-alv-low-st-NA-NA-NA-NA-NA,Mødtes I om dagen eller om aftenen?,dagen,unasp,alv,low,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-pEne-asp-bilab-low-nst,Var billederne grimme eller pæne?,NA,NA,NA,NA,NA,pæne,asp,bilab,low,nst,n
NA-NA-NA-NA-NA-Noma-nasal-alv-high-nst,Er Danmarks bedste restaurant Geranium eller er det Noma?,NA,NA,NA,NA,NA,Noma,nasal,alv,high,nst,n
NA-NA-NA-NA-NA-minimum-nasal-bilab-high-st,Er den her pris tættest på dit maksimum eller dit minimum?,NA,NA,NA,NA,NA,minimum,nasal,bilab,high,st,n
NA-NA-NA-NA-NA-nylig-nasal-alv-high-nst,Skete det for længe siden eller for nylig?,NA,NA,NA,NA,NA,nylig,nasal,alv,high,nst,n
NA-NA-NA-NA-NA-tier-asp-alv-high-st,Trak hun en femmer eller en tier?,NA,NA,NA,NA,NA,tier,asp,alv,high,st,n
NA-NA-NA-NA-NA-minus-nasal-bilab-high-nst,Er du i plus eller er du i minus?,NA,NA,NA,NA,NA,minus,nasal,bilab,high,nst,n
NA-NA-NA-NA-NA-bule-unasp-bilab-high-nst,Fik hun et sår eller fik hun en bule?,NA,NA,NA,NA,NA,bule,unasp,bilab,high,nst,n
udueligt-unasp-alv-high-st-NA-NA-NA-NA-NA,Er det udueligt eller er det noget der dur?,udueligt,unasp,alv,high,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-nabo-nasal-alv-low-nst,Er han din genbo eller din nabo?,NA,NA,NA,NA,NA,nabo,nasal,alv,low,nst,n
tydeligt-asp-alv-high-nst-NA-NA-NA-NA-NA,Er det tydeligt nok eller er det uklart?,tydeligt,asp,alv,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-maler-nasal-bilab-low-nst,Var han sanger eller var han maler?,NA,NA,NA,NA,NA,maler,nasal,bilab,low,nst,n
bide-unasp-bilab-high-nst-NA-NA-NA-NA-NA,Kan hunden komme i tanke om at bide eller er den velopdragen?,bide,unasp,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-bilen-unasp-bilab-high-st,Kommer de hertil med båden eller med bilen?,NA,NA,NA,NA,NA,bilen,unasp,bilab,high,st,n
NA-NA-NA-NA-NA-nEbet-nasal-alv-low-st,Bruger fugle deres klør til at løfte eller bruger de næbet?,NA,NA,NA,NA,NA,næbet,nasal,alv,low,st,n
NA-NA-NA-NA-NA-pEre-asp-bilab-low-nst,Bad hun om et æble eller om en pære?,NA,NA,NA,NA,NA,pære,asp,bilab,low,nst,n
damen-unasp-alv-low-nst-NA-NA-NA-NA-NA,Hvem spurgte du om vej  var det damen eller var det manden?,damen,unasp,alv,low,nst,NA,NA,NA,NA,NA,n
bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,Fik hun en bule eller fik hun et sår?,bule,unasp,bilab,high,nst,NA,NA,NA,NA,NA,n
basen-unasp-bilab-low-nst-byen-unasp-bilab-high-st,Er de på basen eller i byen?,basen,unasp,bilab,low,nst,byen,unasp,bilab,high,st,y
maler-nasal-bilab-low-st-NA-NA-NA-NA-NA,Er det i dag vi maler eller er det i dag vi gør rent?,maler,nasal,bilab,low,st,NA,NA,NA,NA,NA,n
nOle-nasal-alv-low-nst-NA-NA-NA-NA-NA,Er du mest bange for nåle eller læger?,nåle,nasal,alv,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-Borgen-unasp-bilab-low-st,Ser I Matador eller ser I Borgen?,NA,NA,NA,NA,NA,Borgen,unasp,bilab,low,st,n
mOlet-nasal-bilab-low-st-pElen-asp-bilab-low-st,Ramte hun målet eller pælen?,målet,nasal,bilab,low,st,pælen,asp,bilab,low,st,n
poolen-asp-bilab-high-nst-NA-NA-NA-NA-NA,Vil du helst svømme i poolen eller i havet?,poolen,asp,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-doven-unasp-alv-low-nst,Er du frisk eller er du doven?,NA,NA,NA,NA,NA,doven,unasp,alv,low,nst,n
bager-unasp-bilab-low-nst-NA-NA-NA-NA-NA,Er brødet købt hos en bager eller i et supermarked?,bager,unasp,bilab,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-dalen-unasp-alv-low-st,Boede de på bjergsiden eller i dalen?,NA,NA,NA,NA,NA,dalen,unasp,alv,low,st,n
NA-NA-NA-NA-NA-byge-unasp-bilab-high-nst,Skal det regne hele dagen eller er det bare en byge?,NA,NA,NA,NA,NA,byge,unasp,bilab,high,nst,n
NA-NA-NA-NA-NA-bager-unasp-bilab-low-nst,Er brødet købt i et supermarked eller hos en bager?,NA,NA,NA,NA,NA,bager,unasp,bilab,low,nst,n
pElen-asp-bilab-low-st-mOlet-nasal-bilab-low-st,Ramte hun pælen eller målet?,pælen,asp,bilab,low,st,målet,nasal,bilab,low,st,n
panisk-asp-bilab-low-st-NA-NA-NA-NA-NA,Var hun panisk eller var hun rolig?,panisk,asp,bilab,low,st,NA,NA,NA,NA,NA,y
minus-nasal-bilab-high-nst-NA-NA-NA-NA-NA,Er du i minus eller er du i plus?,minus,nasal,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-nEsen-nasal-alv-low-nst,Blev du ramt på kinden eller på næsen?,NA,NA,NA,NA,NA,næsen,nasal,alv,low,nst,n
NA-NA-NA-NA-NA-melet-nasal-bilab-high-nst,Smager melonen moden eller er den melet?,NA,NA,NA,NA,NA,melet,nasal,bilab,high,nst,n
tier-asp-alv-high-st-NA-NA-NA-NA-NA,Trak hun en tier eller en femmer?,tier,asp,alv,high,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-panisk-asp-bilab-low-st,Var hun rolig eller var hun panisk?,NA,NA,NA,NA,NA,panisk,asp,bilab,low,st,n
tale-asp-alv-low-nst-NA-NA-NA-NA-NA,Holder hun en tale eller har hun skrevet en sang?,tale,asp,alv,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-timian-asp-alv-high-st,Smager det bedst med oregano eller med timian?,NA,NA,NA,NA,NA,timian,asp,alv,high,st,n
tOrne-asp-alv-low-nst-NA-NA-NA-NA-NA,Hedder den anden bog De to tårne eller De to bjerge?,tårne,asp,alv,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-tOrnet-asp-alv-low-st,Var I oppe på bakken eller oppe i tårnet?,NA,NA,NA,NA,NA,tårnet,asp,alv,low,st,n
NA-NA-NA-NA-NA-dOEren-unasp-alv-low-st,Kom han ud af vinduet eller af døren?,NA,NA,NA,NA,NA,døren,unasp,alv,low,st,n
NA-NA-NA-NA-NA-pita-asp-bilab-high-nst,Hvad skal vi have til aftensmad pizza eller pita?,NA,NA,NA,NA,NA,pita,asp,bilab,high,nst,n
normen-nasal-alv-low-st-NA-NA-NA-NA-NA,Var det normen eller var det unormalt?,normen,nasal,alv,low,st,NA,NA,NA,NA,NA,n
nEbet-nasal-alv-low-st-NA-NA-NA-NA-NA,Bruger fugle næbet til at løfte eller bruger de deres klør?,næbet,nasal,alv,low,st,NA,NA,NA,NA,NA,y
NA-NA-NA-NA-NA-torsken-asp-alv-low-nst,Valgte du laksen eller torsken?,NA,NA,NA,NA,NA,torsken,asp,alv,low,nst,n
nOlen-nasal-alv-low-st-NA-NA-NA-NA-NA,Stak du dig på nålen eller på saksen?,nålen,nasal,alv,low,st,NA,NA,NA,NA,NA,n
mOge-nasal-bilab-low-nst-due-unasp-alv-high-nst,Blev din mad taget af en måge eller af en due?,måge,nasal,bilab,low,nst,due,unasp,alv,high,nst,n
tOen-asp-alv-low-st-NA-NA-NA-NA-NA,Ramte han bolden med tåen eller med hælen?,tåen,asp,alv,low,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-morgen-nasal-bilab-low-nst,Er det stadig nat eller er det morgen?,NA,NA,NA,NA,NA,morgen,nasal,bilab,low,nst,n
melet-nasal-bilab-high-st-NA-NA-NA-NA-NA,Skulle jeg række dig melet eller sukkeret?,melet,nasal,bilab,high,st,NA,NA,NA,NA,NA,n
sympatisk-asp-bilab-low-st-NA-NA-NA-NA-NA,Var han sympatisk eller var han ubehagelig?,sympatisk,asp,bilab,low,st,NA,NA,NA,NA,NA,y
NA-NA-NA-NA-NA-pilen-asp-bilab-high-st,Blev han ramt af sværdet eller af pilen?,NA,NA,NA,NA,NA,pilen,asp,bilab,high,st,n
NA-NA-NA-NA-NA-tOen-asp-alv-low-st,Ramte han bolden med hælen eller med tåen?,NA,NA,NA,NA,NA,tåen,asp,alv,low,st,n
bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,Er det en flok bier eller en flok hvepse?,NA,NA,NA,NA,NA,bier,unasp,bilab,high,st,n
NA-NA-NA-NA-NA-dyret-unasp-alv-high-st,Ramte han træet eller ramte han dyret?,NA,NA,NA,NA,NA,dyret,unasp,alv,high,st,n
pEre-asp-bilab-low-nst-NA-NA-NA-NA-NA,Bad hun om en pære eller om et æble?,pære,asp,bilab,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-pinlig-asp-bilab-high-nst,Var han sjov eller var han pinlig?,NA,NA,NA,NA,NA,pinlig,asp,bilab,high,nst,n
NA-NA-NA-NA-NA-nOlen-nasal-alv-low-st,Stak du dig på saksen eller på nålen?,NA,NA,NA,NA,NA,nålen,nasal,alv,low,st,n
NA-NA-NA-NA-NA-tydeligt-asp-alv-high-nst,Er det uklart eller er det tydeligt nok?,NA,NA,NA,NA,NA,tydeligt,asp,alv,high,nst,n
data-unasp-alv-low-nst-NA-NA-NA-NA-NA,Downloader du musik med data eller med wifi?,data,unasp,alv,low,nst,NA,NA,NA,NA,NA,y
byen-unasp-bilab-high-st-basen-unasp-bilab-low-nst,Er de i byen eller på basen?,byen,unasp,bilab,high,st,basen,unasp,bilab,low,nst,n
NA-NA-NA-NA-NA-bogen-unasp-bilab-low-st,Foretrækker du filmen eller foretrækker du bogen?,NA,NA,NA,NA,NA,bogen,unasp,bilab,low,st,n
NA-NA-NA-NA-NA-taget-asp-alv-low-st,Røg bolden over hækken eller op på taget?,NA,NA,NA,NA,NA,taget,asp,alv,low,st,n
timian-asp-alv-high-st-NA-NA-NA-NA-NA,Smager det bedst med timian eller med oregano?,timian,asp,alv,high,st,NA,NA,NA,NA,NA,n
nylig-nasal-alv-high-nst-NA-NA-NA-NA-NA,Skete det for nylig eller er det længe siden?,nylig,nasal,alv,high,nst,NA,NA,NA,NA,NA,n
forneden-nasal-alv-high-nst-NA-NA-NA-NA-NA,Har du også ledt forneden eller kun foroven?,forneden,nasal,alv,high,nst,NA,NA,NA,NA,NA,n
nabo-nasal-alv-low-nst-NA-NA-NA-NA-NA,Er han din nabo eller din genbo?,nabo,nasal,alv,low,nst,NA,NA,NA,NA,NA,y
pita-asp-bilab-high-nst-NA-NA-NA-NA-NA,Hvad skal vi have til aftensmad pita eller pizza?,pita,asp,bilab,high,nst,NA,NA,NA,NA,NA,y
NA-NA-NA-NA-NA-fornyet-nasal-alv-high-st,Er dit medlemskab udløbet eller er det blevet fornyet?,NA,NA,NA,NA,NA,fornyet,nasal,alv,high,st,n
NA-NA-NA-NA-NA-pOElen-asp-bilab-high-st,Vil du helst svømme i floden eller i pølen?,NA,NA,NA,NA,NA,pølen,asp,bilab,high,st,n
Noma-nasal-alv-high-nst-NA-NA-NA-NA-NA,Er Danmarks bedste restaurant Noma eller er det Geranium?,Noma,nasal,alv,high,nst,NA,NA,NA,NA,NA,n
torsken-asp-alv-low-nst-NA-NA-NA-NA-NA,Valgte du torsken eller laksen?,torsken,asp,alv,low,nst,NA,NA,NA,NA,NA,y
pilen-asp-bilab-high-st-NA-NA-NA-NA-NA,Blev han ramt af pilen eller af sværdet?,pilen,asp,bilab,high,st,NA,NA,NA,NA,NA,n
Polen-asp-bilab-high-st-Portugal-asp-bilab-low-nst,Skulle de til Polen eller skulle de til Portugal?,Polen,asp,bilab,high,st,Portugal,asp,bilab,low,nst,n
tusind-asp-alv-high-st-NA-NA-NA-NA-NA,Koster den tættere på tusind kroner eller hundrede kroner?,tusind,asp,alv,high,st,NA,NA,NA,NA,NA,y
pOElen-asp-bilab-high-st-NA-NA-NA-NA-NA,Vil du helst svømme i pølen eller i floden?,pølen,asp,bilab,high,st,NA,NA,NA,NA,NA,n
byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,Er det bare en byge eller skal det regne hele dagen?,byge,unasp,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-melet-nasal-bilab-high-st,Skulle jeg række dig sukkeret eller melet?,NA,NA,NA,NA,NA,melet,nasal,bilab,high,st,n
dOEren-unasp-alv-low-st-NA-NA-NA-NA-NA,Kom han ud af døren eller af vinduet?,døren,unasp,alv,low,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-maler-nasal-bilab-low-st,Er det i dag vi gør rent eller er det i dag vi maler?,NA,NA,NA,NA,NA,maler,nasal,bilab,low,st,n
dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,Skal vi dele eller vil du helst have din egen?,dele,unasp,alv,high,nst,NA,NA,NA,NA,NA,n
nuet-nasal-alv-high-st-NA-NA-NA-NA-NA,Lever hun i nuet eller er hun meget forsigtig?,nuet,nasal,alv,high,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-tOrne-asp-alv-low-nst,Hedder den anden bog De to bjerge eller De to tårne?,NA,NA,NA,NA,NA,tårne,asp,alv,low,nst,n
meter-nasal-bilab-high-st-baner-unasp-bilab-low-nst,Svømmede hun 50 meter eller 50 baner?,meter,nasal,bilab,high,st,baner,unasp,bilab,low,nst,y
maler-nasal-bilab-low-nst-NA-NA-NA-NA-NA,Var han maler eller var han sanger?,maler,nasal,bilab,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-poolen-asp-bilab-high-nst,Vil du helst svømme i havet eller i poolen?,NA,NA,NA,NA,NA,poolen,asp,bilab,high,nst,n
NA-NA-NA-NA-NA-mOler-nasal-bilab-low-st,Er fonetik et fag hvor man lytter eller er det et fag hvor man måler ting?,NA,NA,NA,NA,NA,måler,nasal,bilab,low,st,n
NA-NA-NA-NA-NA-nuet-nasal-alv-high-st,Er hun meget forsigtig eller lever hun i nuet?,NA,NA,NA,NA,NA,nuet,nasal,alv,high,st,n
due-unasp-alv-high-nst-mOge-nasal-bilab-low-nst,Blev din mad taget af en due eller af en måge?,due,unasp,alv,high,nst,måge,nasal,bilab,low,nst,n
bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,Kommer de hertil med bilen eller med båden?,bilen,unasp,bilab,high,st,NA,NA,NA,NA,NA,n
Nilen-nasal-alv-high-st-NA-NA-NA-NA-NA,Skal I sejle på Nilen eller på Donau?,Nilen,nasal,alv,high,st,NA,NA,NA,NA,NA,n
melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,Smager melonen melet eller er den moden?,melet,nasal,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-dele-unasp-alv-high-nst,Vil du helst have din egen eller skal vi dele?,NA,NA,NA,NA,NA,dele,unasp,alv,high,nst,n
NA-NA-NA-NA-NA-nOle-nasal-alv-low-nst,Er du mest bange for læger eller nåle?,NA,NA,NA,NA,NA,nåle,nasal,alv,low,nst,n
NA-NA-NA-NA-NA-bagud-unasp-bilab-low-st,Kommer han op foran eller sakker han bagud?,NA,NA,NA,NA,NA,bagud,unasp,bilab,low,st,n
morgen-nasal-bilab-low-nst-NA-NA-NA-NA-NA,Er det morgen eller er det stadig nat?,morgen,nasal,bilab,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-time-asp-alv-high-nst,Kommer det til at tage et par minutter eller en time?,NA,NA,NA,NA,NA,time,asp,alv,high,nst,n
Borgen-unasp-bilab-low-st-NA-NA-NA-NA-NA,Ser I Borgen eller ser I Matador?,Borgen,unasp,bilab,low,st,NA,NA,NA,NA,NA,n
pinlig-asp-bilab-high-nst-NA-NA-NA-NA-NA,Var han pinlig eller var han sjov?,pinlig,asp,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-dagen-unasp-alv-low-st,Mødtes I om aftenen eller om dagen?,NA,NA,NA,NA,NA,dagen,unasp,alv,low,st,n
doven-unasp-alv-low-nst-NA-NA-NA-NA-NA,Er du doven eller er du frisk?,doven,unasp,alv,low,nst,NA,NA,NA,NA,NA,n
bogen-unasp-bilab-low-st-NA-NA-NA-NA-NA,Foretrækker du bogen eller foretrækker du filmen?,bogen,unasp,bilab,low,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-Tivoli-asp-alv-high-nst,Skal vi tage på Bakken eller skal vi tage i Tivoli?,NA,NA,NA,NA,NA,Tivoli,asp,alv,high,nst,n
NA-NA-NA-NA-NA-Nilen-nasal-alv-high-st,Skal I sejle på Donau eller på Nilen?,NA,NA,NA,NA,NA,Nilen,nasal,alv,high,st,n
delte-unasp-alv-high-st-NA-NA-NA-NA-NA,Er der delte meninger eller er alle enige?,delte,unasp,alv,high,st,NA,NA,NA,NA,NA,y
baner-unasp-bilab-low-nst-meter-nasal-bilab-high-st,Svømmede hun 50 baner eller 50 meter?,baner,unasp,bilab,low,nst,meter,nasal,bilab,high,st,n
NA-NA-NA-NA-NA-normen-nasal-alv-low-st,Var det unormalt eller var det normen?,NA,NA,NA,NA,NA,normen,nasal,alv,low,st,n
tOrnet-asp-alv-low-st-NA-NA-NA-NA-NA,Var I oppe i tårnet eller oppe på bakken?,tårnet,asp,alv,low,st,NA,NA,NA,NA,NA,n
time-asp-alv-high-nst-NA-NA-NA-NA-NA,Kommer det til at tage en time eller et par minutter?,time,asp,alv,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-damen-unasp-alv-low-nst,Hvem spurgte du om vej var det manden eller var det damen?,NA,NA,NA,NA,NA,damen,unasp,alv,low,nst,n
taget-asp-alv-low-st-NA-NA-NA-NA-NA,Røg bolden op på taget eller over hækken?,taget,asp,alv,low,st,NA,NA,NA,NA,NA,n
training1,Kommer du fra Aarhus eller fra København?,,,,,,,,,,,
training2,Kommer du fra Sjælland eller fra Jylland?,,,,,,,,,,,
training3,Har du et fuldtidsarbejde eller er du studerende?,,,,,,,,,,,
training4,Skal vores optagelser være på dansk eller på engelsk?,,,,,,,,,,,
training5,Skal vi lave optagelser i et lydstudie eller i en park?,,,,,,,,,,,
